DTALite:
A Fast Open Source DTA Engine
Software Version =,1.1.0
Release Date=,Mar 28 2016
Simulation Date =,year: 2016,month:04,day:4,hour:14,min:51
----------------------test1----------------------
Signal Control Representation =,Continuous Flow with Link Capacity Constraint
Traffic Flow Model =,Point Queue Model
Assignment method=,MSA
 


# of Nodes=,149
# of Link Types=,12
# of Links=,378
# of Prohibited Movements=,0
# of Pretimed Signals=,15
# of Actuated Signals=,0
# of Zones=,41
# of Activity Locations=,93
# of Vehicle Types=,5
# of Demand Types=,4
# of Sensor Records=,0
Demand Load Mode=,demand meta databaseReading demand file,input_demand.csv,cumulative # of agents=,12638,


Demand multiplier in input_scenario_settings.csv file=,1
# of Vehicles to be simulated=,12638
# of Intra-zone Vehicles (not be simulated)=,377.973
Starting Time of Demand Loading (min)=,930
Ending Time of Demand Loading (min)=,1050
Output Emission data=,NO

--Link Type Statistics--
link_type,link_type_name,link_type_code,number_of_links,avg_lane_capacity,avg_number_of_lanes,avg_speed_limit,avg_link_length,avg_K_jam,total_link_length,
1,Freeway,f,114,1428.6,7,20.8772,0.271095,220,30.9048,
2,Highway/Expressway,h,58,404.186,2.27586,37.4138,0.264813,120,15.3592,
3,Principal arterial,a,80,469.397,1.8,34.875,0.212428,120,16.9942,
4,Major arterial,a,112,607.55,1.125,27.4107,0.233508,120,26.1529,
5,Minor arterial,a,14,514.5,1,26,0.277057,120,3.8788,
6,Collector,a,0,0,0,0,0,0,0,
7,Local,a,0,0,0,0,0,0,0,
8,Frontage road,a,0,0,0,0,0,0,0,
9,Ramp,r,0,0,0,0,0,0,0,
10,Zonal connector,c,0,0,0,0,0,0,0,
100,Transit link,t,0,0,0,0,0,0,0,
200,Walking link,w,0,0,0,0,0,0,0,

# of incident records=0
# of demand type code based toll records=0
# of link-based toll records=0
# of work zone records=0
# of VMS records=0
Assignment method=,Zone-based routing
Iteration #,CPU Running Time,Per Iteration CPU Running Time,# of agents,Avg Travel Time (min),Avg Waiting Time at Origin (min),Avg Trip Time Index=(Mean TT/Free-flow TT),Avg Distance),Avg Speed,Avg CO (g),% considering to switch,% switched,% completing trips,network clearance time (in min),Avg User Equilibirum (UE) gap (min),Relative UE gap (%),ODME: number of data points,ODME: Absolute link count error,ODME: % link count error,ODME: slope =observed/estimated link count,ODME: r_squared link count,travel_time_15:30,travel_time_15:45,travel_time_16:00,travel_time_16:15,travel_time_16:30,travel_time_16:45,travel_time_17:00,travel_time_17:15,Avg UE gap_15:30,Avg UE gap_15:45,Avg UE gap_16:00,Avg UE gap_16:15,Avg UE gap_16:30,Avg UE gap_16:45,Avg UE gap_17:00,Avg UE gap_17:15,Relative UE gap_15:30,Relative UE gap_15:45,Relative UE gap_16:00,Relative UE gap_16:15,Relative UE gap_16:30,Relative UE gap_16:45,Relative UE gap_17:00,Relative UE gap_17:15,
1,00:00:05,00:00:05,12638,17.9786,-0.0387821,3.37114, ,10.0006,11068.7,100,100,100,1440, , , , , , , ,6.8422,10.1076,13.6558,16.9019,20.1299,23.3368,25.6676,25.9088, , , , , , , , , , , , , , , , ,


--Time Dependent Network MOE--,60 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,number_vehicles_entering_network,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
5018,5436,h,Highway/Expressway,0.5069,930,1050,1463,284.8000,854.4000,0.8562,0.0000,43.0000,41.9529,0.7073,0.7250,98,A,0,0.0000,1463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1463,0,0,0,1463,0,0,0,0,"<LineString><coordinates>-111.938737,40.616735,0.0 -111.938624,40.624083,0.0</coordinates></LineString>",5018,5436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,236.0000,599.0000,472.0000,156.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,42.3120,41.3720,42.2665,42.7627,43.0000,43.0000,43.0000,43.0000,43.0000,
5022,5524,a,Principal arterial,0.1988,930,1050,1206,407.2000,814.4000,0.7404,0.0000,36.0000,32.3260,0.3313,0.3690,90,A,0,0.0000,1206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1206,0,0,0,1206,0,0,0,0,"<LineString><coordinates>-111.929185,40.609299,0.0 -111.925510,40.608615,0.0</coordinates></LineString>",5022,5524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,219.0000,519.0000,366.0000,102.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,31.8513,32.1724,32.0020,35.7152,36.0000,36.0000,36.0000,36.0000,36.0000,
5112,5589,h,Highway/Expressway,0.2454,930,1050,1885,446.0000,892.0000,1.0566,0.0000,39.0000,32.6129,0.3775,0.4515,84,B,0,0.0000,1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1885,0,0,0,1885,0,0,0,0,"<LineString><coordinates>-111.938730,40.587644,0.0 -111.934063,40.587663,0.0</coordinates></LineString>",5112,5589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,335.0000,776.0000,614.0000,160.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,33.2614,30.4163,34.1246,37.9082,39.0000,39.0000,39.0000,39.0000,39.0000,
5112,11160,h,Highway/Expressway,0.2128,930,1050,2422,284.8000,854.4000,1.4174,0.0000,43.0000,0.5659,0.2969,22.5636,1,F,0,0.0000,2422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2422,0,0,0,2422,0,0,0,0,"<LineString><coordinates>-111.938612,40.587768,0.0 -111.938760,40.590850,0.0</coordinates></LineString>",5112,11160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,375.0000,855.0000,854.0000,338.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,2.8174,0.6329,0.3319,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,
5112,11172,h,Highway/Expressway,0.2477,930,1050,1464,446.0000,892.0000,0.8206,0.0000,39.0000,36.1790,0.3811,0.4108,93,A,0,0.0000,1464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1464,0,0,0,1464,0,0,0,0,"<LineString><coordinates>-111.938848,40.587765,0.0 -111.938937,40.584174,0.0</coordinates></LineString>",5112,11172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,244.0000,595.0000,493.0000,132.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,35.1649,35.8760,36.5094,38.4437,39.0000,39.0000,39.0000,39.0000,39.0000,
5113,11148,h,Highway/Expressway,0.3466,930,1050,2063,284.8000,854.4000,1.2073,0.0000,43.0000,39.5491,0.4836,0.5258,92,A,0,0.0000,2063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2063,0,0,0,2063,0,0,0,0,"<LineString><coordinates>-111.938652,40.594014,0.0 -111.938675,40.599040,0.0</coordinates></LineString>",5113,11148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,317.0000,729.0000,726.0000,291.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,39.3536,39.2960,39.6470,40.1765,43.0000,43.0000,43.0000,43.0000,43.0000,
5113,11160,h,Highway/Expressway,0.2187,930,1050,2011,284.8000,854.4000,1.1768,0.0000,43.0000,35.1544,0.3052,0.3733,82,B,0,0.0000,2011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2011,0,0,0,2011,0,0,0,0,"<LineString><coordinates>-111.938888,40.594017,0.0 -111.938996,40.590848,0.0</coordinates></LineString>",5113,11160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,340.0000,855.0000,813.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,39.3473,32.4919,36.6596,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,
5114,5592,h,Highway/Expressway,0.3692,930,1050,2188,423.7000,847.4000,1.2910,0.0000,32.0000,4.8358,0.6923,4.5809,15,F,0,0.0000,2188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2188,0,0,0,2188,0,0,0,0,"<LineString><coordinates>-111.929196,40.587676,0.0 -111.922176,40.587624,0.0</coordinates></LineString>",5114,5592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,355.0000,847.0000,823.0000,163.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,15.6667,5.0087,3.0480,31.7244,32.0000,32.0000,32.0000,32.0000,32.0000,
5117,11255,h,Highway/Expressway,0.1231,930,1050,1583,423.7000,847.4000,0.9340,0.0000,32.0000,23.6642,0.2308,0.3121,74,B,0,0.0000,1583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1583,0,0,0,1583,0,0,0,0,"<LineString><coordinates>-111.910220,40.587599,0.0 -111.907881,40.587695,0.0</coordinates></LineString>",5117,11255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,249.0000,633.0000,565.0000,136.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,22.2420,22.7857,24.4355,28.5014,32.0000,32.0000,32.0000,32.0000,32.0000,
5118,5727,h,Highway/Expressway,0.1119,930,1050,1160,423.7000,847.4000,0.6844,0.0000,32.0000,30.1574,0.2098,0.2226,94,A,0,0.0000,1160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1160,0,0,0,1160,0,0,0,0,"<LineString><coordinates>-111.904261,40.587896,0.0 -111.902134,40.587882,0.0</coordinates></LineString>",5118,5727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,177.0000,462.0000,405.0000,116.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,30.3462,29.4945,30.4804,31.5422,32.0000,32.0000,32.0000,32.0000,32.0000,
5174,5868,a,Principal arterial,0.1943,930,1050,1005,407.2000,814.4000,0.6170,0.0000,36.0000,33.7462,0.3238,0.3455,94,A,0,0.0000,1005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1005,0,0,0,1005,0,0,0,0,"<LineString><coordinates>-111.913876,40.558953,0.0 -111.910194,40.558742,0.0</coordinates></LineString>",5174,5868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,184.0000,476.0000,298.0000,47.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,32.9751,33.2780,34.7018,35.9979,36.0000,36.0000,36.0000,36.0000,36.0000,
5208,5209,h,Highway/Expressway,0.3999,930,1050,1184,446.0000,892.0000,0.6637,0.0000,39.0000,34.6775,0.6152,0.6919,89,B,0,0.0000,1184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1184,0,0,0,1184,0,0,0,0,"<LineString><coordinates>-111.938575,40.562286,0.0 -111.938620,40.568084,0.0</coordinates></LineString>",5208,5209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,266.0000,614.0000,304.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,34.6815,34.8905,34.2411,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,
5209,5211,h,Highway/Expressway,0.3468,930,1050,1377,446.0000,892.0000,0.7719,0.0000,39.0000,32.3738,0.5335,0.6427,83,B,0,0.0000,1377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1377,0,0,0,1377,0,0,0,0,"<LineString><coordinates>-111.938620,40.568082,0.0 -111.938569,40.573110,0.0</coordinates></LineString>",5209,5211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,306.0000,707.0000,364.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,32.7501,32.0387,32.7280,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,
5210,5211,h,Highway/Expressway,0.2656,930,1050,1334,446.0000,892.0000,0.7478,0.0000,39.0000,37.3300,0.4086,0.4269,96,A,0,0.0000,1334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1334,0,0,0,1334,0,0,0,0,"<LineString><coordinates>-111.938859,40.576959,0.0 -111.938805,40.573109,0.0</coordinates></LineString>",5210,5211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.0000,543.0000,439.0000,115.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,36.8985,37.2876,37.2108,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,
5210,11172,h,Highway/Expressway,0.4974,930,1050,1388,446.0000,892.0000,0.7780,0.0000,39.0000,37.9259,0.7652,0.7869,97,A,0,0.0000,1388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1388,0,0,0,1388,0,0,0,0,"<LineString><coordinates>-111.938623,40.576962,0.0 -111.938701,40.584172,0.0</coordinates></LineString>",5210,11172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,296.0000,714.0000,378.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,38.0105,37.9414,37.8271,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,
5211,5209,h,Highway/Expressway,0.3468,930,1050,1206,446.0000,892.0000,0.6760,0.0000,39.0000,37.9985,0.5335,0.5476,97,A,0,0.0000,1206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1206,0,0,0,1206,0,0,0,0,"<LineString><coordinates>-111.938805,40.573112,0.0 -111.938856,40.568084,0.0</coordinates></LineString>",5211,5209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,497.0000,404.0000,105.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,37.8330,37.8219,38.1496,38.6061,39.0000,39.0000,39.0000,39.0000,39.0000,
5211,5210,h,Highway/Expressway,0.2656,930,1050,1465,446.0000,892.0000,0.8212,0.0000,39.0000,36.3444,0.4086,0.4385,93,A,0,0.0000,1465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1465,0,0,0,1465,0,0,0,0,"<LineString><coordinates>-111.938569,40.573113,0.0 -111.938623,40.576963,0.0</coordinates></LineString>",5211,5210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,319.0000,751.0000,395.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,37.0629,36.4220,35.6290,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,
5436,5018,h,Highway/Expressway,0.5069,930,1050,1137,284.8000,854.4000,0.6654,0.0000,43.0000,40.1870,0.7073,0.7568,93,A,0,0.0000,1137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1137,0,0,0,1137,0,0,0,0,"<LineString><coordinates>-111.938860,40.624087,0.0 -111.938973,40.616739,0.0</coordinates></LineString>",5436,5018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.0000,598.0000,280.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,40.2432,39.8713,40.8543,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,
5436,5578,h,Highway/Expressway,0.4375,930,1050,1143,284.8000,854.4000,0.6689,0.0000,39.0000,36.0193,0.6731,0.7288,92,A,0,0.0000,1143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1143,0,0,0,1143,0,0,0,0,"<LineString><coordinates>-111.938624,40.624085,0.0 -111.938642,40.630427,0.0</coordinates></LineString>",5436,5578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,203.0000,489.0000,353.0000,98.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,36.0885,35.6956,36.1749,37.0335,39.0000,39.0000,39.0000,39.0000,39.0000,
5524,5863,a,Principal arterial,0.4697,930,1050,1206,407.2000,814.4000,0.7404,0.0000,36.0000,35.5031,0.7828,0.7938,99,A,0,0.0000,1206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1206,0,0,0,1206,0,0,0,0,"<LineString><coordinates>-111.925467,40.608614,0.0 -111.916763,40.610148,0.0</coordinates></LineString>",5524,5863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,210.0000,521.0000,372.0000,103.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,35.5756,35.3704,35.5122,35.9998,36.0000,36.0000,36.0000,36.0000,36.0000,
5589,5114,h,Highway/Expressway,0.2560,930,1050,2174,446.0000,892.0000,1.2186,0.0000,39.0000,7.5203,0.3938,2.0425,19,F,0,0.0000,2174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2174,0,0,0,2174,0,0,0,0,"<LineString><coordinates>-111.934063,40.587663,0.0 -111.929195,40.587676,0.0</coordinates></LineString>",5589,5114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,387.0000,892.0000,732.0000,163.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,17.2776,6.7027,5.5526,38.8414,39.0000,39.0000,39.0000,39.0000,39.0000,
5727,5119,h,Highway/Expressway,0.0580,930,1050,1160,423.7000,847.4000,0.6844,0.0000,32.0000,24.7212,0.1088,0.1408,77,B,0,0.0000,1160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1160,0,0,0,1160,0,0,0,0,"<LineString><coordinates>-111.902136,40.587882,0.0 -111.901033,40.587853,0.0</coordinates></LineString>",5727,5119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,177.0000,461.0000,406.0000,116.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,25.2005,24.4440,24.1922,27.2378,32.0000,32.0000,32.0000,32.0000,32.0000,
5736,11146,h,Highway/Expressway,0.2454,930,1050,2063,284.8000,854.4000,1.2073,0.0000,43.0000,40.3418,0.3424,0.3650,94,A,0,0.0000,2063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2063,0,0,0,2063,0,0,0,0,"<LineString><coordinates>-111.938577,40.602348,0.0 -111.938740,40.605903,0.0</coordinates></LineString>",5736,11146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,307.0000,732.0000,725.0000,299.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,42.2099,42.1560,38.1706,39.8250,43.0000,43.0000,43.0000,43.0000,43.0000,
5736,11148,h,Highway/Expressway,0.2280,930,1050,2011,284.8000,854.4000,1.1768,0.0000,43.0000,40.3575,0.3181,0.3390,94,A,0,0.0000,2011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2011,0,0,0,2011,0,0,0,0,"<LineString><coordinates>-111.938813,40.602347,0.0 -111.938911,40.599043,0.0</coordinates></LineString>",5736,11148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,353.0000,855.0000,803.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,42.0809,43.0000,37.2343,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,
5863,5009,a,Principal arterial,0.1904,930,1050,1206,407.2000,814.4000,0.7404,0.0000,36.0000,35.6816,0.3173,0.3202,99,A,0,0.0000,1206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1206,0,0,0,1206,0,0,0,0,"<LineString><coordinates>-111.916777,40.610147,0.0 -111.913165,40.610352,0.0</coordinates></LineString>",5863,5009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,206.0000,523.0000,372.0000,105.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,35.5767,35.5700,35.8124,35.9944,36.0000,36.0000,36.0000,36.0000,36.0000,
8172,6185,a,Major arterial,0.3411,930,1050,1061,666.4000,666.4000,0.7961,0.0000,29.0000,28.2688,0.7057,0.7240,97,A,0,0.0000,1061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1061,0,0,0,1061,0,0,0,0,"<LineString><coordinates>-111.905621,40.580699,0.0 -111.905632,40.575754,0.0</coordinates></LineString>",8172,6185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,148.0000,415.0000,354.0000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,27.9238,28.2668,28.1973,28.8510,29.0000,29.0000,29.0000,29.0000,29.0000,
11146,5017,h,Highway/Expressway,0.2497,930,1050,1580,284.8000,854.4000,0.9246,0.0000,43.0000,39.4105,0.3484,0.3802,92,A,0,0.0000,1580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1580,0,0,0,1580,0,0,0,0,"<LineString><coordinates>-111.938740,40.605894,0.0 -111.938633,40.609513,0.0</coordinates></LineString>",11146,5017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,244.0000,595.0000,540.0000,201.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,38.9238,38.6695,39.4244,42.4779,43.0000,43.0000,43.0000,43.0000,43.0000,
