agent_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,departure_time,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,number_of_nodes
68,5076,4136,5076,4136,990.99,1,1,1,60.00,1,0,5,
69,20,4136,20,4136,990.99,1,1,1,30.00,1,0,4,
70,4023,5076,4023,5076,991.02,1,1,1,1.00,1,0,5,
71,4023,4136,4023,4136,991.03,1,1,1,1.00,2,0,3,
72,4147,4136,4147,4136,991.03,1,1,1,1.00,1,0,5,
73,9715,5076,9715,5076,991.03,1,1,1,10.00,1,0,5,
74,4136,5076,4136,5076,991.06,1,1,1,30.00,2,0,5,
75,20,4023,20,4023,991.07,1,1,1,10.00,1,0,4,
76,20,4136,20,4136,991.09,1,1,1,10.00,1,0,4,
77,5076,4147,5076,4147,991.10,1,1,1,15.00,2,0,3,
78,5076,4136,5076,4136,991.11,1,1,1,10.00,1,0,5,
79,4147,4136,4147,4136,991.11,1,1,1,10.00,1,0,5,
80,4147,5076,4147,5076,991.14,1,1,1,5.00,1,0,3,
81,4023,9715,4023,9715,991.14,1,1,1,30.00,1,0,3,
82,20021,4136,20021,4136,991.16,1,1,1,5.00,1,0,5,
83,20,4147,20,4147,991.17,1,1,1,30.00,1,0,4,
84,20,4136,20,4136,991.19,1,1,1,15.00,1,0,4,
85,4147,4136,4147,4136,991.19,1,1,1,5.00,1,0,5,
86,9715,20,9715,20,991.20,1,1,1,20.00,1,0,4,
87,4136,5076,4136,5076,991.22,1,1,1,10.00,1,0,5,
88,20,5076,20,5076,991.22,1,1,1,20.00,1,0,4,
89,5076,4136,5076,4136,991.23,1,1,1,1.00,2,0,5,
90,20020,4136,20020,4136,991.24,1,1,1,30.00,1,0,4,
91,5076,20,5076,20,991.25,1,1,1,20.00,1,0,4,
92,9715,4023,9715,4023,991.27,1,1,1,20.00,1,0,3,
93,4147,4136,4147,4136,991.27,1,1,1,10.00,1,5,5,
94,20,4136,20,4136,991.29,1,1,1,30.00,1,0,4,
95,4023,20,4023,20,991.30,1,1,1,1.00,1,0,4,
96,9715,4136,9715,4136,991.30,1,1,1,15.00,1,0,3,
97,4023,9715,4023,9715,991.31,1,1,1,30.00,2,0,3,
98,20,9715,20,9715,991.34,1,1,1,10.00,1,0,4,
99,4147,4136,4147,4136,991.35,1,1,1,20.00,1,0,5,
100,5076,4136,5076,4136,991.36,1,1,1,20.00,1,0,5,
101,4147,20020,4147,20020,991.36,1,1,1,60.00,1,0,4,
102,4147,5076,4147,5076,991.36,1,1,1,30.00,1,0,3,
103,4136,5076,4136,5076,991.37,1,1,1,30.00,1,0,5,
104,20,4136,20,4136,991.39,1,1,1,1.00,1,0,4,
105,20021,5076,20021,5076,991.41,1,1,1,15.00,1,0,3,
106,4147,4136,4147,4136,991.43,1,1,1,5.00,2,0,5,
107,4147,9715,4147,9715,991.45,1,1,1,10.00,1,0,5,
108,20,5076,20,5076,991.46,1,1,1,15.00,2,0,4,
109,4023,9715,4023,9715,991.47,1,1,1,30.00,1,0,3,
110,5076,4136,5076,4136,991.48,1,1,1,30.00,1,0,5,
111,20,4136,20,4136,991.49,1,1,1,10.00,1,0,4,
112,4147,4136,4147,4136,991.51,1,1,1,20.00,1,0,5,
113,4136,5076,4136,5076,991.52,1,1,1,20.00,2,0,5,
114,4023,4136,4023,4136,991.54,1,1,1,10.00,1,0,3,
115,20021,4136,20021,4136,991.55,1,1,1,15.00,1,0,5,
116,20020,4136,20020,4136,991.55,1,1,1,20.00,1,0,4,
117,9715,4023,9715,4023,991.59,1,1,1,40.00,2,0,3,
118,20,4136,20,4136,991.59,1,1,1,15.00,1,0,4,
119,4147,5076,4147,5076,991.59,1,1,1,30.00,2,0,3,
120,4147,4136,4147,4136,991.59,1,1,1,15.00,2,0,5,
121,20,20021,20,20021,991.60,1,1,1,30.00,2,0,4,
122,5076,4136,5076,4136,991.60,1,1,1,15.00,1,0,5,
123,20,4023,20,4023,991.61,1,1,1,10.00,1,0,4,
124,5076,20021,5076,20021,991.62,1,1,1,1.00,1,0,3,
125,4023,9715,4023,9715,991.63,1,1,1,20.00,2,0,3,
126,5076,4147,5076,4147,991.65,1,1,1,15.00,1,0,3,
127,4136,5076,4136,5076,991.67,1,1,1,15.00,1,0,5,
128,4147,4136,4147,4136,991.67,1,1,1,20.00,2,0,5,
129,20,4136,20,4136,991.69,1,1,1,30.00,1,0,4,
130,4147,20,4147,20,991.69,1,1,1,5.00,1,0,4,
131,20,5076,20,5076,991.71,1,1,1,5.00,1,0,4,
132,9715,4147,9715,4147,991.71,1,1,1,10.00,1,0,5,
133,5076,4136,5076,4136,991.73,1,1,1,5.00,2,0,5,
134,20,4147,20,4147,991.75,1,1,1,10.00,2,0,4,
135,4147,4136,4147,4136,991.75,1,1,1,5.00,1,0,5,
136,20,4136,20,4136,991.79,1,1,1,30.00,1,0,4,
137,20,9715,20,9715,991.79,1,1,1,15.00,2,0,4,
138,4023,9715,4023,9715,991.80,1,1,1,10.00,1,0,3,
139,4147,5076,4147,5076,991.82,1,1,1,15.00,1,0,3,
140,4136,5076,4136,5076,991.82,1,1,1,10.00,1,0,5,
141,4147,4136,4147,4136,991.83,1,1,1,20.00,1,0,5,
142,5076,4136,5076,4136,991.85,1,1,1,20.00,1,5,5,
143,20020,4136,20020,4136,991.87,1,1,1,10.00,1,0,4,
144,20,4136,20,4136,991.89,1,1,1,30.00,2,0,4,
145,9715,4023,9715,4023,991.90,1,1,1,5.00,1,0,3,
146,4147,4136,4147,4136,991.91,1,1,1,30.00,1,0,5,
147,4147,9715,4147,9715,991.94,1,1,1,15.00,1,0,5,
148,4023,4147,4023,4147,991.94,1,1,1,10.00,1,0,5,
149,20021,4136,20021,4136,991.94,1,1,1,60.00,1,0,5,
150,20,5076,20,5076,991.95,1,1,1,60.00,1,0,4,
151,9715,4136,9715,4136,991.96,1,1,1,5.00,1,0,3,
152,4023,9715,4023,9715,991.96,1,1,1,5.00,1,0,3,
153,4136,5076,4136,5076,991.97,1,1,1,30.00,2,0,5,
154,5076,4136,5076,4136,991.98,1,1,1,5.00,1,0,5,
155,20,4136,20,4136,991.99,1,1,1,20.00,1,0,4,
156,4147,4136,4147,4136,991.99,1,1,1,5.00,1,0,5,
157,4023,5076,4023,5076,992.03,1,1,1,10.00,1,0,5,
158,4147,5076,4147,5076,992.05,1,1,1,30.00,1,0,3,
159,4023,4136,4023,4136,992.05,1,1,1,5.00,1,0,3,
160,4147,4136,4147,4136,992.07,1,1,1,15.00,1,0,5,
161,9715,5076,9715,5076,992.07,1,1,1,5.00,1,0,5,
162,20,4136,20,4136,992.09,1,1,1,15.00,1,0,4,
163,5076,4136,5076,4136,992.10,1,1,1,30.00,1,0,5,
164,20021,5076,20021,5076,992.12,1,1,1,1.00,1,0,3,
165,4023,9715,4023,9715,992.13,1,1,1,5.00,1,0,3,
166,4136,5076,4136,5076,992.13,1,1,1,30.00,1,0,5,
167,20,4023,20,4023,992.14,1,1,1,10.00,1,0,4,
168,4147,4136,4147,4136,992.15,1,1,1,10.00,1,0,5,
169,20020,4136,20020,4136,992.18,1,1,1,20.00,1,0,4,
170,20,4136,20,4136,992.19,1,1,1,1.00,2,0,4,
171,20,5076,20,5076,992.20,1,1,1,10.00,1,0,4,
172,5076,4147,5076,4147,992.20,1,1,1,20.00,2,0,3,
173,9715,4023,9715,4023,992.22,1,1,1,20.00,1,0,3,
174,5076,4136,5076,4136,992.22,1,1,1,10.00,2,0,5,
175,4147,4136,4147,4136,992.23,1,1,1,5.00,2,0,5,
176,20,9715,20,9715,992.24,1,1,1,30.00,2,0,4,
177,4147,5076,4147,5076,992.27,1,1,1,5.00,1,0,3,
178,4136,5076,4136,5076,992.28,1,1,1,10.00,1,0,5,
179,20,4136,20,4136,992.28,1,1,1,15.00,1,0,4,
180,4023,9715,4023,9715,992.29,1,1,1,30.00,1,0,3,
181,4147,4136,4147,4136,992.31,1,1,1,1.00,1,0,5,
182,20021,4136,20021,4136,992.32,1,1,1,5.00,1,0,5,
183,20,4147,20,4147,992.33,1,1,1,10.00,1,0,4,
184,5076,4136,5076,4136,992.35,1,1,1,5.00,2,0,5,
185,20,4136,20,4136,992.38,1,1,1,15.00,1,0,4,
186,4147,4136,4147,4136,992.39,1,1,1,10.00,1,0,5,
187,9715,20,9715,20,992.40,1,1,1,30.00,1,0,4,
188,20,20021,20,20021,992.40,1,1,1,10.00,1,0,4,
189,4147,9715,4147,9715,992.42,1,1,1,20.00,1,0,5,
190,4136,5076,4136,5076,992.43,1,1,1,20.00,1,0,5,
191,20,5076,20,5076,992.44,1,1,1,5.00,1,0,4,
192,4023,9715,4023,9715,992.45,1,1,1,5.00,1,0,3,
193,4147,4136,4147,4136,992.47,1,1,1,10.00,1,0,5,
194,5076,4136,5076,4136,992.47,1,1,1,10.00,1,0,5,
195,20,4136,20,4136,992.48,1,1,1,30.00,1,0,4,
196,20020,4136,20020,4136,992.49,1,1,1,15.00,1,0,4,
197,4147,5076,4147,5076,992.50,1,1,1,10.00,1,0,3,
198,5076,20,5076,20,992.50,1,1,1,10.00,1,0,4,
199,4147,20,4147,20,992.54,1,1,1,30.00,1,0,4,
200,9715,4023,9715,4023,992.54,1,1,1,10.00,1,0,3,
201,4147,4136,4147,4136,992.55,1,1,1,20.00,2,0,5,
202,4023,4136,4023,4136,992.56,1,1,1,10.00,1,0,3,
203,4136,5076,4136,5076,992.58,1,1,1,30.00,1,0,5,
204,20,4136,20,4136,992.58,1,1,1,10.00,1,0,4,
205,5076,4136,5076,4136,992.59,1,1,1,20.00,1,0,5,
206,9715,4136,9715,4136,992.61,1,1,1,30.00,1,0,3,
207,4023,20,4023,20,992.61,1,1,1,20.00,1,0,4,
208,4023,9715,4023,9715,992.62,1,1,1,10.00,1,0,3,
209,4147,4136,4147,4136,992.63,1,1,1,15.00,1,0,5,
210,20,4023,20,4023,992.68,1,1,1,30.00,1,0,4,
211,20,4136,20,4136,992.68,1,1,1,10.00,1,0,4,
212,20,5076,20,5076,992.68,1,1,1,10.00,1,0,4,
213,20,9715,20,9715,992.69,1,1,1,20.00,1,0,4,
214,4147,4136,4147,4136,992.71,1,1,1,5.00,1,0,5,
215,20021,4136,20021,4136,992.71,1,1,1,1.00,2,0,5,
216,5076,4136,5076,4136,992.72,1,1,1,10.00,1,0,5,
217,4147,20020,4147,20020,992.73,1,1,1,20.00,1,0,4,
218,4147,5076,4147,5076,992.73,1,1,1,30.00,1,0,3,
219,4136,5076,4136,5076,992.73,1,1,1,15.00,1,0,5,
220,5076,4147,5076,4147,992.75,1,1,1,10.00,1,0,3,
221,4023,9715,4023,9715,992.78,1,1,1,20.00,1,0,3,
222,20,4136,20,4136,992.78,1,1,1,30.00,1,0,4,
223,4147,4136,4147,4136,992.79,1,1,1,15.00,1,0,5,
224,20020,4136,20020,4136,992.80,1,1,1,15.00,1,0,4,
225,20021,5076,20021,5076,992.82,1,1,1,30.00,1,0,3,
226,5076,4136,5076,4136,992.84,1,1,1,20.00,1,0,5,
227,9715,4023,9715,4023,992.86,1,1,1,10.00,1,0,3,
228,4147,4136,4147,4136,992.86,1,1,1,5.00,1,0,5,
229,20,4136,20,4136,992.88,1,1,1,15.00,1,0,4,
230,4136,5076,4136,5076,992.89,1,1,1,30.00,2,0,5,
231,4147,9715,4147,9715,992.90,1,1,1,20.00,1,0,5,
232,20,4147,20,4147,992.91,1,1,1,1.00,1,0,4,
233,20,5076,20,5076,992.93,1,1,1,5.00,1,0,4,
234,4023,9715,4023,9715,992.94,1,1,1,10.00,1,0,3,
235,4147,4136,4147,4136,992.94,1,1,1,20.00,2,0,5,
236,4147,5076,4147,5076,992.95,1,1,1,10.00,2,0,3,
237,5076,4136,5076,4136,992.96,1,1,1,30.00,1,0,5,
238,20,4136,20,4136,992.98,1,1,1,30.00,1,0,4,
239,4147,4136,4147,4136,993.02,1,1,1,40.00,1,0,5,
240,4136,5076,4136,5076,993.04,1,1,1,10.00,1,0,5,
241,4023,5076,4023,5076,993.05,1,1,1,15.00,1,0,5,
242,4023,4136,4023,4136,993.08,1,1,1,20.00,1,0,3,
243,20,4136,20,4136,993.08,1,1,1,1.00,1,0,4,
244,5076,4136,5076,4136,993.09,1,1,1,30.00,1,0,5,
245,20021,4136,20021,4136,993.10,1,1,1,20.00,1,0,5,
246,4147,4136,4147,4136,993.10,1,1,1,30.00,2,0,5,
247,9715,5076,9715,5076,993.10,1,1,1,30.00,1,0,5,
248,4023,9715,4023,9715,993.11,1,1,1,20.00,1,0,3,
249,20020,4136,20020,4136,993.11,1,1,1,1.00,2,0,4,
250,20,9715,20,9715,993.13,1,1,1,10.00,1,0,4,
251,20,5076,20,5076,993.17,1,1,1,30.00,1,0,4,
252,9715,4023,9715,4023,993.17,1,1,1,5.00,2,0,3,
253,20,4136,20,4136,993.18,1,1,1,10.00,1,0,4,
254,4147,5076,4147,5076,993.18,1,1,1,20.00,1,0,3,
255,4147,4136,4147,4136,993.18,1,1,1,30.00,1,0,5,
256,4136,5076,4136,5076,993.19,1,1,1,30.00,2,0,5,
257,20,20021,20,20021,993.20,1,1,1,20.00,1,0,4,
258,5076,4136,5076,4136,993.21,1,1,1,30.00,1,0,5,
259,20,4023,20,4023,993.21,1,1,1,1.00,1,0,4,
260,5076,20021,5076,20021,993.24,1,1,1,10.00,2,0,3,
261,9715,4136,9715,4136,993.26,1,1,1,10.00,1,0,3,
262,4147,4136,4147,4136,993.26,1,1,1,10.00,2,0,5,
263,4023,9715,4023,9715,993.27,1,1,1,15.00,1,0,3,
264,20,4136,20,4136,993.28,1,1,1,10.00,1,0,4,
265,5076,4147,5076,4147,993.30,1,1,1,20.00,1,0,3,
266,5076,4136,5076,4136,993.33,1,1,1,15.00,1,0,5,
267,4136,5076,4136,5076,993.34,1,1,1,15.00,1,0,5,
268,4147,4136,4147,4136,993.34,1,1,1,5.00,2,0,5,
269,20,4136,20,4136,993.38,1,1,1,10.00,1,0,4,
270,4147,20,4147,20,993.38,1,1,1,20.00,1,0,4,
271,4147,9715,4147,9715,993.39,1,1,1,10.00,1,0,5,
272,4147,5076,4147,5076,993.41,1,1,1,10.00,1,0,3,
273,20,5076,20,5076,993.41,1,1,1,5.00,2,0,4,
274,20020,4136,20020,4136,993.42,1,1,1,10.00,1,0,4,
275,4147,4136,4147,4136,993.42,1,1,1,30.00,1,0,5,
276,9715,4147,9715,4147,993.43,1,1,1,10.00,2,0,5,
277,4023,9715,4023,9715,993.43,1,1,1,30.00,1,0,3,
278,5076,4136,5076,4136,993.46,1,1,1,20.00,1,0,5,
279,20,4136,20,4136,993.48,1,1,1,15.00,1,0,4,
280,20021,4136,20021,4136,993.48,1,1,1,40.00,1,0,5,
281,9715,4023,9715,4023,993.49,1,1,1,15.00,1,0,3,
282,4136,5076,4136,5076,993.49,1,1,1,10.00,2,0,5,
283,20,4147,20,4147,993.50,1,1,1,10.00,2,0,4,
284,4147,4136,4147,4136,993.50,1,1,1,10.00,1,0,5,
285,20021,5076,20021,5076,993.53,1,1,1,30.00,1,0,3,
286,4136,20,4136,20,993.53,1,1,1,20.00,1,0,4,
287,20,4136,20,4136,993.58,1,1,1,20.00,1,0,4,
288,5076,4136,5076,4136,993.58,1,1,1,1.00,1,0,5,
289,4147,4136,4147,4136,993.58,1,1,1,20.00,1,0,5,
290,20,9715,20,9715,993.58,1,1,1,20.00,1,0,4,
291,4023,4136,4023,4136,993.59,1,1,1,15.00,1,0,3,
292,4023,9715,4023,9715,993.60,1,1,1,10.00,1,0,3,
293,9715,20,9715,20,993.60,1,1,1,15.00,1,0,4,
294,4147,5076,4147,5076,993.64,1,1,1,10.00,1,0,3,
295,4136,5076,4136,5076,993.65,1,1,1,30.00,1,0,5,
296,20,5076,20,5076,993.66,1,1,1,30.00,1,0,4,
297,4147,4136,4147,4136,993.66,1,1,1,15.00,1,0,5,
298,20,4136,20,4136,993.68,1,1,1,10.00,1,0,4,
299,5076,4136,5076,4136,993.70,1,1,1,15.00,1,0,5,
300,20020,4136,20020,4136,993.73,1,1,1,1.00,1,0,4,
301,4147,4136,4147,4136,993.74,1,1,1,5.00,1,0,5,
302,20,4023,20,4023,993.75,1,1,1,15.00,1,0,4,
303,5076,20,5076,20,993.75,1,1,1,10.00,1,0,4,
304,4023,9715,4023,9715,993.76,1,1,1,10.00,1,0,3,
305,20,4136,20,4136,993.77,1,1,1,10.00,1,0,4,
306,4136,5076,4136,5076,993.80,1,1,1,30.00,2,0,5,
307,9715,4023,9715,4023,993.81,1,1,1,20.00,1,0,3,
308,4147,4136,4147,4136,993.82,1,1,1,15.00,1,0,5,
309,5076,4136,5076,4136,993.83,1,1,1,10.00,1,0,5,
310,5076,4147,5076,4147,993.85,1,1,1,15.00,1,0,3,
311,4147,5076,4147,5076,993.86,1,1,1,10.00,1,0,3,
312,4147,9715,4147,9715,993.87,1,1,1,15.00,1,0,5,
313,20021,4136,20021,4136,993.87,1,1,1,1.00,1,0,5,
314,4023,4147,4023,4147,993.87,1,1,1,20.00,2,0,5,
315,20,4136,20,4136,993.87,1,1,1,10.00,1,0,4,
316,4147,4136,4147,4136,993.90,1,1,1,5.00,1,0,5,
317,20,5076,20,5076,993.90,1,1,1,15.00,2,0,4,
318,9715,4136,9715,4136,993.91,1,1,1,30.00,1,0,3,
319,4023,20,4023,20,993.91,1,1,1,10.00,1,0,4,
320,4023,9715,4023,9715,993.92,1,1,1,1.00,1,0,3,
321,4136,5076,4136,5076,993.95,1,1,1,5.00,1,0,5,
322,5076,4136,5076,4136,993.95,1,1,1,15.00,1,0,5,
323,20,4136,20,4136,993.97,1,1,1,10.00,1,0,4,
324,4147,4136,4147,4136,993.98,1,1,1,10.00,1,0,5,
325,20,20021,20,20021,994.00,1,1,1,30.00,1,0,4,
326,20,9715,20,9715,994.03,1,1,1,10.00,1,0,4,
327,20020,4136,20020,4136,994.04,1,1,1,1.00,1,0,4,
328,4147,4136,4147,4136,994.06,1,1,1,5.00,1,0,5,
329,4023,5076,4023,5076,994.07,1,1,1,15.00,1,0,5,
330,20,4136,20,4136,994.07,1,1,1,10.00,1,0,4,
331,5076,4136,5076,4136,994.07,1,1,1,30.00,1,0,5,
332,20,4147,20,4147,994.08,1,1,1,1.00,1,0,4,
333,4023,9715,4023,9715,994.09,1,1,1,15.00,1,0,3,
334,4147,20020,4147,20020,994.09,1,1,1,5.00,1,0,4,
335,4147,5076,4147,5076,994.09,1,1,1,30.00,1,0,3,
336,4136,5076,4136,5076,994.10,1,1,1,20.00,2,0,5,
337,4023,4136,4023,4136,994.10,1,1,1,20.00,1,0,3,
338,9715,4023,9715,4023,994.13,1,1,1,20.00,2,0,3,
339,9715,5076,9715,5076,994.14,1,1,1,60.00,1,0,5,
340,4147,4136,4147,4136,994.14,1,1,1,10.00,1,0,5,
341,20,5076,20,5076,994.15,1,1,1,1.00,1,0,4,
342,20,4136,20,4136,994.17,1,1,1,20.00,1,0,4,
343,5076,4136,5076,4136,994.20,1,1,1,30.00,1,0,5,
344,4147,4136,4147,4136,994.22,1,1,1,40.00,1,0,5,
345,4147,20,4147,20,994.23,1,1,1,5.00,2,0,4,
346,20021,5076,20021,5076,994.24,1,1,1,5.00,1,0,3,
347,4023,9715,4023,9715,994.25,1,1,1,5.00,1,0,3,
348,4136,5076,4136,5076,994.25,1,1,1,10.00,1,0,5,
349,20021,4136,20021,4136,994.26,1,1,1,20.00,1,0,5,
350,20,4136,20,4136,994.27,1,1,1,20.00,1,0,4,
351,20,4023,20,4023,994.29,1,1,1,15.00,1,0,4,
352,4147,4136,4147,4136,994.30,1,1,1,20.00,2,0,5,
353,4147,5076,4147,5076,994.32,1,1,1,15.00,1,0,3,
354,5076,4136,5076,4136,994.32,1,1,1,15.00,1,0,5,
355,20020,4136,20020,4136,994.35,1,1,1,10.00,1,0,4,
356,4147,9715,4147,9715,994.35,1,1,1,1.00,2,0,5,
357,20,4136,20,4136,994.37,1,1,1,15.00,2,0,4,
358,4147,4136,4147,4136,994.38,1,1,1,60.00,1,0,5,
359,20,5076,20,5076,994.39,1,1,1,15.00,1,0,4,
360,5076,4147,5076,4147,994.40,1,1,1,20.00,1,0,3,
361,4136,5076,4136,5076,994.41,1,1,1,20.00,1,0,5,
362,4023,9715,4023,9715,994.41,1,1,1,10.00,1,0,3,
363,9715,4023,9715,4023,994.44,1,1,1,1.00,2,0,3,
364,5076,4136,5076,4136,994.44,1,1,1,20.00,1,0,5,
365,4147,4136,4147,4136,994.46,1,1,1,10.00,2,0,5,
366,20,4136,20,4136,994.47,1,1,1,30.00,1,0,4,
367,20,9715,20,9715,994.48,1,1,1,20.00,1,0,4,
368,4147,4136,4147,4136,994.54,1,1,1,10.00,1,0,5,
369,4147,5076,4147,5076,994.55,1,1,1,20.00,1,0,3,
370,4136,5076,4136,5076,994.56,1,1,1,30.00,2,0,5,
371,9715,4136,9715,4136,994.57,1,1,1,10.00,1,0,3,
372,5076,4136,5076,4136,994.57,1,1,1,15.00,1,0,5,
373,20,4136,20,4136,994.57,1,1,1,15.00,1,0,4,
374,4023,9715,4023,9715,994.58,1,1,1,60.00,2,0,3,
375,4147,4136,4147,4136,994.62,1,1,1,1.00,2,0,5,
376,4023,4136,4023,4136,994.62,1,1,1,1.00,1,0,3,
377,4147,4023,4147,4023,994.62,1,1,1,5.00,1,0,5,
378,20,5076,20,5076,994.63,1,1,1,1.00,1,0,4,
379,20021,4136,20021,4136,994.65,1,1,1,20.00,1,0,5,
380,20,4147,20,4147,994.66,1,1,1,20.00,2,0,4,
381,20020,4136,20020,4136,994.66,1,1,1,10.00,1,0,4,
382,20,4136,20,4136,994.67,1,1,1,10.00,1,0,4,
383,5076,4136,5076,4136,994.69,1,1,1,10.00,1,0,5,
384,4147,4136,4147,4136,994.69,1,1,1,10.00,2,0,5,
385,4136,5076,4136,5076,994.71,1,1,1,5.00,1,0,5,
386,4023,9715,4023,9715,994.74,1,1,1,20.00,1,0,3,
387,9715,4023,9715,4023,994.76,1,1,1,20.00,2,0,3,
388,20,4136,20,4136,994.77,1,1,1,30.00,1,0,4,
389,4147,5076,4147,5076,994.77,1,1,1,10.00,2,0,3,
390,4147,4136,4147,4136,994.77,1,1,1,15.00,1,0,5,
391,20,20021,20,20021,994.80,1,1,1,10.00,1,0,4,
392,9715,20,9715,20,994.80,1,1,1,5.00,2,0,4,
393,5076,4136,5076,4136,994.81,1,1,1,10.00,1,0,5,
394,20,4023,20,4023,994.82,1,1,1,10.00,2,0,4,
395,4147,9715,4147,9715,994.84,1,1,1,10.00,1,0,5,
396,4147,4136,4147,4136,994.85,1,1,1,30.00,1,0,5,
397,4136,5076,4136,5076,994.86,1,1,1,10.00,1,0,5,
398,5076,20021,5076,20021,994.86,1,1,1,10.00,1,0,3,
399,20,4136,20,4136,994.87,1,1,1,10.00,1,0,4,
400,20,5076,20,5076,994.88,1,1,1,20.00,1,0,4,
