name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,network_design_flag,grade,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code
South Maple Avenue,5591429,5591429_AB,,,10010,10011,Major arterial,1,0.49715,1,40,900,4,190,12,,,"<LineString><coordinates>-111.941273,33.421930,0.0 -111.941273,33.421213,0.0 -111.941252,33.420477,0.0 -111.941247,33.420054,0.0 -111.941235,33.419165,0.0 -111.941250,33.419052,0.0 -111.941258,33.418905,0.0 -111.941243,33.417619,0.0 -111.941219,33.416188,0.0 -111.941221,33.414743,0.0</coordinates></LineString>","<LineString><coordinates>-111.941261,33.421931,0.0 -111.941260,33.421213,0.0 -111.941239,33.420477,0.0 -111.941234,33.420054,0.0 -111.941223,33.419165,0.0 -111.941237,33.419052,0.0 -111.941245,33.418905,0.0 -111.941230,33.417620,0.0 -111.941206,33.416188,0.0 -111.941208,33.414743,0.0</coordinates></LineString>",,,,
South Maple Avenue,5591429,5591429_BA,,,10011,10010,Major arterial,1,0.49715,1,40,900,4,190,12,,,"<LineString><coordinates>-111.941196,33.414743,0.0 -111.941194,33.416188,0.0 -111.941217,33.417620,0.0 -111.941233,33.418905,0.0 -111.941225,33.419052,0.0 -111.941210,33.419165,0.0 -111.941221,33.420054,0.0 -111.941227,33.420478,0.0 -111.941247,33.421213,0.0 -111.941248,33.421931,0.0</coordinates></LineString>","<LineString><coordinates>-111.941208,33.414743,0.0 -111.941206,33.416188,0.0 -111.941230,33.417620,0.0 -111.941245,33.418905,0.0 -111.941237,33.419052,0.0 -111.941223,33.419165,0.0 -111.941234,33.420054,0.0 -111.941239,33.420477,0.0 -111.941260,33.421213,0.0 -111.941261,33.421931,0.0</coordinates></LineString>",,,,
West Brown Street,5592666,5592666_AB,,,10012,10013,Major arterial,1,0.00084,1,40,900,4,190,12,,,"<LineString><coordinates>-111.945773,33.426292,0.0 -111.947290,33.426304,0.0</coordinates></LineString>","<LineString><coordinates>-111.945773,33.426279,0.0 -111.947290,33.426291,0.0</coordinates></LineString>",,,,
West Brown Street,5592666,5592666_BA,,,10013,10012,Major arterial,1,0.00084,1,40,900,4,190,12,,,"<LineString><coordinates>-111.947290,33.426279,0.0 -111.945773,33.426267,0.0</coordinates></LineString>","<LineString><coordinates>-111.947290,33.426291,0.0 -111.945773,33.426279,0.0</coordinates></LineString>",,,,
East Alpha Drive,5593009,5593009_AB,,,10014,10015,Major arterial,1,0.06645,1,40,900,4,190,12,,,"<LineString><coordinates>-111.929668,33.424097,0.0 -111.929416,33.423760,0.0 -111.928343,33.423438,0.0 -111.927869,33.423297,0.0 -111.927694,33.423240,0.0 -111.927590,33.423137,0.0</coordinates></LineString>","<LineString><coordinates>-111.929663,33.424109,0.0 -111.929411,33.423772,0.0 -111.928338,33.423450,0.0 -111.927863,33.423308,0.0 -111.927688,33.423251,0.0 -111.927585,33.423148,0.0</coordinates></LineString>",,,,
East Alpha Drive,5593009,5593009_BA,,,10015,10014,Major arterial,1,0.06645,1,40,900,4,190,12,,,"<LineString><coordinates>-111.927580,33.423160,0.0 -111.927683,33.423263,0.0 -111.927858,33.423320,0.0 -111.928332,33.423461,0.0 -111.929405,33.423783,0.0 -111.929658,33.424121,0.0</coordinates></LineString>","<LineString><coordinates>-111.927585,33.423148,0.0 -111.927688,33.423251,0.0 -111.927863,33.423308,0.0 -111.928338,33.423450,0.0 -111.929411,33.423772,0.0 -111.929663,33.424109,0.0</coordinates></LineString>",,,,
East Alpha Drive,5593011,5593011_AB,,,10015,10016,Major arterial,1,0.07849,1,40,900,4,190,12,,,"<LineString><coordinates>-111.927598,33.423147,0.0 -111.927589,33.422717,0.0 -111.927556,33.422552,0.0 -111.927449,33.422012,0.0</coordinates></LineString>","<LineString><coordinates>-111.927585,33.423148,0.0 -111.927577,33.422719,0.0 -111.927544,33.422553,0.0 -111.927436,33.422014,0.0</coordinates></LineString>",,,,
East Alpha Drive,5593011,5593011_BA,,,10016,10015,Major arterial,1,0.07849,1,40,900,4,190,12,,,"<LineString><coordinates>-111.927424,33.422015,0.0 -111.927531,33.422555,0.0 -111.927564,33.422720,0.0 -111.927573,33.423150,0.0</coordinates></LineString>","<LineString><coordinates>-111.927436,33.422014,0.0 -111.927544,33.422553,0.0 -111.927577,33.422719,0.0 -111.927585,33.423148,0.0</coordinates></LineString>",,,,
South Ash Avenue,5594960,5594960_AB,,,10017,10018,Major arterial,1,0.57504,1,40,900,4,190,12,,,"<LineString><coordinates>-111.942327,33.413615,0.0 -111.942347,33.414474,0.0 -111.942376,33.414687,0.0 -111.942426,33.414772,0.0 -111.942439,33.415734,0.0 -111.942437,33.417014,0.0 -111.942439,33.418318,0.0 -111.942436,33.418980,0.0 -111.942382,33.419048,0.0 -111.942348,33.419134,0.0 -111.942355,33.419726,0.0 -111.942377,33.421213,0.0 -111.942377,33.421928,0.0</coordinates></LineString>","<LineString><coordinates>-111.942340,33.413615,0.0 -111.942360,33.414474,0.0 -111.942389,33.414687,0.0 -111.942439,33.414772,0.0 -111.942452,33.415734,0.0 -111.942449,33.417014,0.0 -111.942452,33.418318,0.0 -111.942449,33.418980,0.0 -111.942395,33.419048,0.0 -111.942360,33.419134,0.0 -111.942368,33.419726,0.0 -111.942390,33.421213,0.0 -111.942390,33.421928,0.0</coordinates></LineString>",,,,
South Ash Avenue,5594960,5594960_BA,,,10018,10017,Major arterial,1,0.57504,1,40,900,4,190,12,,,"<LineString><coordinates>-111.942403,33.421928,0.0 -111.942402,33.421213,0.0 -111.942381,33.419726,0.0 -111.942373,33.419134,0.0 -111.942407,33.419048,0.0 -111.942462,33.418980,0.0 -111.942465,33.418318,0.0 -111.942462,33.417014,0.0 -111.942465,33.415734,0.0 -111.942451,33.414772,0.0 -111.942401,33.414687,0.0 -111.942372,33.414474,0.0 -111.942353,33.413615,0.0</coordinates></LineString>","<LineString><coordinates>-111.942390,33.421928,0.0 -111.942390,33.421213,0.0 -111.942368,33.419726,0.0 -111.942360,33.419134,0.0 -111.942395,33.419048,0.0 -111.942449,33.418980,0.0 -111.942452,33.418318,0.0 -111.942449,33.417014,0.0 -111.942452,33.415734,0.0 -111.942439,33.414772,0.0 -111.942389,33.414687,0.0 -111.942360,33.414474,0.0 -111.942340,33.413615,0.0</coordinates></LineString>",,,,
West 14th Street,5598295,5598295_AB,,,10019,10020,Major arterial,1,0.001,1,40,900,4,190,12,,,"<LineString><coordinates>-111.944314,33.413915,0.0 -111.944739,33.413917,0.0 -111.945798,33.413923,0.0 -111.947870,33.413930,0.0</coordinates></LineString>","<LineString><coordinates>-111.944314,33.413903,0.0 -111.944739,33.413904,0.0 -111.945798,33.413911,0.0 -111.947870,33.413917,0.0</coordinates></LineString>",,,,
West 14th Street,5598295,5598295_BA,,,10020,10019,Major arterial,1,0.001,1,40,900,4,190,12,,,"<LineString><coordinates>-111.947870,33.413904,0.0 -111.945798,33.413898,0.0 -111.944739,33.413891,0.0 -111.944314,33.413890,0.0</coordinates></LineString>","<LineString><coordinates>-111.947870,33.413917,0.0 -111.945798,33.413911,0.0 -111.944739,33.413904,0.0 -111.944314,33.413903,0.0</coordinates></LineString>",,,,
South Terrace Road,5600278,5600278_AB,,,10021,10022,Major arterial,1,0.10578,1,40,900,4,190,12,,,"<LineString><coordinates>-111.920978,33.412877,0.0 -111.920962,33.412310,0.0 -111.920955,33.411686,0.0 -111.920957,33.411348,0.0</coordinates></LineString>","<LineString><coordinates>-111.920965,33.412878,0.0 -111.920949,33.412310,0.0 -111.920942,33.411687,0.0 -111.920944,33.411348,0.0</coordinates></LineString>",,,,
South Terrace Road,5600278,5600278_BA,,,10022,10021,Major arterial,1,0.10578,1,40,900,4,190,12,,,"<LineString><coordinates>-111.920931,33.411348,0.0 -111.920930,33.411687,0.0 -111.920936,33.412310,0.0 -111.920953,33.412878,0.0</coordinates></LineString>","<LineString><coordinates>-111.920944,33.411348,0.0 -111.920942,33.411687,0.0 -111.920949,33.412310,0.0 -111.920965,33.412878,0.0</coordinates></LineString>",,,,
West Parkway Boulevard,5601059,5601059_AB,,,10023,10024,Major arterial,1,0.00106,1,40,900,4,190,12,,,"<LineString><coordinates>-111.944309,33.413194,0.0 -111.944739,33.413197,0.0 -111.945170,33.413198,0.0 -111.947867,33.413210,0.0</coordinates></LineString>","<LineString><coordinates>-111.944309,33.413182,0.0 -111.944739,33.413184,0.0 -111.945170,33.413185,0.0 -111.947868,33.413197,0.0</coordinates></LineString>",,,,
West Parkway Boulevard,5601059,5601059_BA,,,10024,10023,Major arterial,1,0.00106,1,40,900,4,190,12,,,"<LineString><coordinates>-111.947868,33.413184,0.0 -111.945170,33.413172,0.0 -111.944739,33.413171,0.0 -111.944309,33.413169,0.0</coordinates></LineString>","<LineString><coordinates>-111.947868,33.413197,0.0 -111.945170,33.413185,0.0 -111.944739,33.413184,0.0 -111.944309,33.413182,0.0</coordinates></LineString>",,,,
West 2nd Street,5601491,5601491_AB,,,10025,10026,Major arterial,1,0.00099,1,40,900,4,190,12,,,"<LineString><coordinates>-111.945771,33.428159,0.0 -111.946483,33.428174,0.0</coordinates></LineString>","<LineString><coordinates>-111.945771,33.428147,0.0 -111.946483,33.428161,0.0</coordinates></LineString>",,,,
West 2nd Street,5601491,5601491_BA,,,10026,10025,Major arterial,1,0.00099,1,40,900,4,190,12,,,"<LineString><coordinates>-111.946483,33.428148,0.0 -111.945771,33.428134,0.0</coordinates></LineString>","<LineString><coordinates>-111.946483,33.428161,0.0 -111.945771,33.428147,0.0</coordinates></LineString>",,,,
East Apache Boulevard,5602753,5602753_AB,,,10027,10028,Major arterial,1,0.15014,1,40,900,4,190,12,,,"<LineString><coordinates>-111.939974,33.416788,0.0 -111.939941,33.416707,0.0 -111.939870,33.416466,0.0 -111.939758,33.416224,0.0 -111.939596,33.415955,0.0 -111.939544,33.415890,0.0 -111.939409,33.415722,0.0 -111.939241,33.415553,0.0 -111.938940,33.415290,0.0 -111.938678,33.415115,0.0 -111.938308,33.414915,0.0 -111.937827,33.414751,0.0 -111.937357,33.414650,0.0 -111.937100,33.414619,0.0 -111.937028,33.414617,0.0</coordinates></LineString>","<LineString><coordinates>-111.939967,33.416798,0.0 -111.939933,33.416717,0.0 -111.939862,33.416477,0.0 -111.939751,33.416234,0.0 -111.939588,33.415965,0.0 -111.939536,33.415900,0.0 -111.939401,33.415733,0.0 -111.939234,33.415563,0.0 -111.938932,33.415300,0.0 -111.938671,33.415125,0.0 -111.938300,33.414926,0.0 -111.937819,33.414761,0.0 -111.937349,33.414661,0.0 -111.937093,33.414629,0.0 -111.937021,33.414627,0.0</coordinates></LineString>",,,,
East Apache Boulevard,5602753,5602753_BA,,,10028,10027,Major arterial,1,0.15014,1,40,900,4,190,12,,,"<LineString><coordinates>-111.937013,33.414638,0.0 -111.937085,33.414640,0.0 -111.937342,33.414671,0.0 -111.937811,33.414771,0.0 -111.938292,33.414936,0.0 -111.938663,33.415135,0.0 -111.938925,33.415311,0.0 -111.939226,33.415573,0.0 -111.939394,33.415743,0.0 -111.939529,33.415911,0.0 -111.939581,33.415976,0.0 -111.939743,33.416244,0.0 -111.939855,33.416487,0.0 -111.939926,33.416728,0.0 -111.939959,33.416808,0.0</coordinates></LineString>","<LineString><coordinates>-111.937021,33.414627,0.0 -111.937093,33.414629,0.0 -111.937349,33.414661,0.0 -111.937819,33.414761,0.0 -111.938300,33.414926,0.0 -111.938671,33.415125,0.0 -111.938932,33.415300,0.0 -111.939234,33.415563,0.0 -111.939401,33.415733,0.0 -111.939536,33.415900,0.0 -111.939588,33.415965,0.0 -111.939751,33.416234,0.0 -111.939862,33.416477,0.0 -111.939933,33.416717,0.0 -111.939967,33.416798,0.0</coordinates></LineString>",,,,
West 4th Street,5603481,5603481_AB,,,10029,10030,Major arterial,1,0.00044,1,40,900,4,190,12,,,"<LineString><coordinates>-111.939964,33.426479,0.0 -111.940078,33.426475,0.0 -111.940808,33.426473,0.0</coordinates></LineString>","<LineString><coordinates>-111.939964,33.426466,0.0 -111.940078,33.426462,0.0 -111.940808,33.426460,0.0</coordinates></LineString>",,,,
West 4th Street,5603481,5603481_BA,,,10030,10029,Major arterial,1,0.00044,1,40,900,4,190,12,,,"<LineString><coordinates>-111.940808,33.426447,0.0 -111.940078,33.426450,0.0 -111.939964,33.426454,0.0</coordinates></LineString>","<LineString><coordinates>-111.940808,33.426460,0.0 -111.940078,33.426462,0.0 -111.939964,33.426466,0.0</coordinates></LineString>",,,,
East Lemon Street,5606282,5606282_AB,,,10031,10032,Major arterial,1,0.0093,1,40,900,4,190,12,,,"<LineString><coordinates>-111.917732,33.416921,0.0 -111.916503,33.416918,0.0 -111.913891,33.416912,0.0 -111.913768,33.416928,0.0 -111.913633,33.416973,0.0 -111.913524,33.417010,0.0 -111.913365,33.417042,0.0 -111.913215,33.417051,0.0 -111.912867,33.417057,0.0 -111.911792,33.417055,0.0</coordinates></LineString>","<LineString><coordinates>-111.917732,33.416933,0.0 -111.916503,33.416931,0.0 -111.913891,33.416925,0.0 -111.913768,33.416940,0.0 -111.913633,33.416985,0.0 -111.913524,33.417022,0.0 -111.913365,33.417055,0.0 -111.913215,33.417064,0.0 -111.912868,33.417070,0.0 -111.911792,33.417068,0.0</coordinates></LineString>",,,,
East Lemon Street,5606282,5606282_BA,,,10032,10031,Major arterial,1,0.0093,1,40,900,4,190,12,,,"<LineString><coordinates>-111.911792,33.417080,0.0 -111.912868,33.417083,0.0 -111.913215,33.417076,0.0 -111.913366,33.417067,0.0 -111.913525,33.417035,0.0 -111.913633,33.416998,0.0 -111.913768,33.416953,0.0 -111.913892,33.416938,0.0 -111.916503,33.416943,0.0 -111.917732,33.416946,0.0</coordinates></LineString>","<LineString><coordinates>-111.911792,33.417068,0.0 -111.912868,33.417070,0.0 -111.913215,33.417064,0.0 -111.913365,33.417055,0.0 -111.913524,33.417022,0.0 -111.913633,33.416985,0.0 -111.913768,33.416940,0.0 -111.913891,33.416925,0.0 -111.916503,33.416931,0.0 -111.917732,33.416933,0.0</coordinates></LineString>",,,,
South Mill Avenue,5607328,5607328_AB,,,10033,10034,Major arterial,1,0.17238,1,40,900,4,190,12,,,"<LineString><coordinates>-111.940093,33.421929,0.0 -111.940100,33.421782,0.0 -111.940091,33.421422,0.0 -111.940062,33.420572,0.0 -111.940060,33.420493,0.0 -111.940058,33.420416,0.0 -111.940046,33.419437,0.0</coordinates></LineString>","<LineString><coordinates>-111.940080,33.421929,0.0 -111.940087,33.421782,0.0 -111.940078,33.421422,0.0 -111.940050,33.420572,0.0 -111.940047,33.420494,0.0 -111.940045,33.420416,0.0 -111.940034,33.419437,0.0</coordinates></LineString>",,,,
South Mill Avenue,5607328,5607328_BA,,,10034,10033,Major arterial,1,0.17238,1,40,900,4,190,12,,,"<LineString><coordinates>-111.940021,33.419437,0.0 -111.940033,33.420416,0.0 -111.940035,33.420494,0.0 -111.940037,33.420573,0.0 -111.940065,33.421422,0.0 -111.940075,33.421782,0.0 -111.940068,33.421929,0.0</coordinates></LineString>","<LineString><coordinates>-111.940034,33.419437,0.0 -111.940045,33.420416,0.0 -111.940047,33.420494,0.0 -111.940050,33.420572,0.0 -111.940078,33.421422,0.0 -111.940087,33.421782,0.0 -111.940080,33.421929,0.0</coordinates></LineString>",,,,
West 10th Street,5608312,5608312_AB,,,10035,10036,Major arterial,1,0.00053,1,40,900,4,190,12,,,"<LineString><coordinates>-111.944246,33.419415,0.0 -111.945770,33.419416,0.0 -111.946525,33.419418,0.0 -111.947275,33.419421,0.0 -111.947969,33.419422,0.0</coordinates></LineString>","<LineString><coordinates>-111.944246,33.419402,0.0 -111.945770,33.419403,0.0 -111.946525,33.419405,0.0 -111.947275,33.419409,0.0 -111.947969,33.419410,0.0</coordinates></LineString>",,,,
West 10th Street,5608312,5608312_BA,,,10036,10035,Major arterial,1,0.00053,1,40,900,4,190,12,,,"<LineString><coordinates>-111.947969,33.419397,0.0 -111.947275,33.419396,0.0 -111.946525,33.419393,0.0 -111.945770,33.419391,0.0 -111.944246,33.419389,0.0</coordinates></LineString>","<LineString><coordinates>-111.947969,33.419410,0.0 -111.947275,33.419409,0.0 -111.946525,33.419405,0.0 -111.945770,33.419403,0.0 -111.944246,33.419402,0.0</coordinates></LineString>",,,,
West 10th Street,5608313,5608313_AB,,,10037,10038,Major arterial,1,0.00953,1,40,900,4,190,12,,,"<LineString><coordinates>-111.940028,33.419068,0.0 -111.940311,33.419068,0.0 -111.941238,33.419065,0.0 -111.941821,33.419065,0.0 -111.943249,33.419051,0.0 -111.943372,33.419039,0.0 -111.943477,33.419014,0.0 -111.943626,33.418965,0.0 -111.943752,33.418941,0.0 -111.943884,33.418933,0.0 -111.944246,33.418930,0.0</coordinates></LineString>","<LineString><coordinates>-111.940028,33.419055,0.0 -111.940310,33.419056,0.0 -111.941237,33.419052,0.0 -111.941821,33.419052,0.0 -111.943248,33.419038,0.0 -111.943372,33.419026,0.0 -111.943477,33.419002,0.0 -111.943626,33.418953,0.0 -111.943751,33.418928,0.0 -111.943884,33.418920,0.0 -111.944245,33.418917,0.0</coordinates></LineString>",,,,
West 10th Street,5608313,5608313_BA,,,10038,10037,Major arterial,1,0.00953,1,40,900,4,190,12,,,"<LineString><coordinates>-111.944245,33.418905,0.0 -111.943884,33.418908,0.0 -111.943751,33.418915,0.0 -111.943625,33.418940,0.0 -111.943476,33.418989,0.0 -111.943371,33.419014,0.0 -111.943248,33.419026,0.0 -111.941820,33.419039,0.0 -111.941237,33.419039,0.0 -111.940310,33.419043,0.0 -111.940028,33.419043,0.0</coordinates></LineString>","<LineString><coordinates>-111.944245,33.418917,0.0 -111.943884,33.418920,0.0 -111.943751,33.418928,0.0 -111.943626,33.418953,0.0 -111.943477,33.419002,0.0 -111.943372,33.419026,0.0 -111.943248,33.419038,0.0 -111.941821,33.419052,0.0 -111.941237,33.419052,0.0 -111.940310,33.419056,0.0 -111.940028,33.419055,0.0</coordinates></LineString>",,,,
West Hudson Lane,5611840,5611840_AB,,,10039,10040,Major arterial,1,0.00121,1,40,900,4,190,12,,,"<LineString><coordinates>-111.939893,33.413640,0.0 -111.942340,33.413627,0.0 -111.942634,33.413622,0.0</coordinates></LineString>","<LineString><coordinates>-111.939893,33.413627,0.0 -111.942340,33.413615,0.0 -111.942634,33.413610,0.0</coordinates></LineString>",,,,
West Hudson Lane,5611840,5611840_BA,,,10040,10039,Major arterial,1,0.00121,1,40,900,4,190,12,,,"<LineString><coordinates>-111.942634,33.413597,0.0 -111.942340,33.413602,0.0 -111.939893,33.413615,0.0</coordinates></LineString>","<LineString><coordinates>-111.942634,33.413610,0.0 -111.942340,33.413615,0.0 -111.939893,33.413627,0.0</coordinates></LineString>",,,,
South Rita Lane,5613884,5613884_AB,,,10041,10042,Major arterial,1,0.09558,1,40,900,4,190,12,,,"<LineString><coordinates>-111.922003,33.412896,0.0 -111.922014,33.411613,0.0 -111.922117,33.411514,0.0</coordinates></LineString>","<LineString><coordinates>-111.921991,33.412895,0.0 -111.922001,33.411612,0.0 -111.922104,33.411513,0.0</coordinates></LineString>",,,,
South Rita Lane,5613884,5613884_BA,,,10042,10041,Major arterial,1,0.09558,1,40,900,4,190,12,,,"<LineString><coordinates>-111.922091,33.411512,0.0 -111.921989,33.411611,0.0 -111.921978,33.412893,0.0</coordinates></LineString>","<LineString><coordinates>-111.922104,33.411513,0.0 -111.922001,33.411612,0.0 -111.921991,33.412895,0.0</coordinates></LineString>",,,,
East University Drive,5614812,5614812_AB,,,10033,10043,Major arterial,1,0.00138,1,40,900,4,190,12,,,"<LineString><coordinates>-111.940080,33.421916,0.0 -111.939938,33.421879,0.0 -111.939854,33.421881,0.0 -111.939317,33.421884,0.0 -111.938927,33.421885,0.0 -111.938247,33.421885,0.0 -111.938146,33.421885,0.0 -111.938060,33.421885,0.0 -111.936752,33.421892,0.0 -111.936662,33.421891,0.0 -111.936563,33.421891,0.0 -111.935255,33.421891,0.0 -111.935061,33.421887,0.0 -111.934966,33.421936,0.0</coordinates></LineString>","<LineString><coordinates>-111.940080,33.421929,0.0 -111.939938,33.421892,0.0 -111.939854,33.421893,0.0 -111.939318,33.421897,0.0 -111.938927,33.421898,0.0 -111.938247,33.421898,0.0 -111.938146,33.421898,0.0 -111.938061,33.421898,0.0 -111.936752,33.421904,0.0 -111.936662,33.421904,0.0 -111.936563,33.421903,0.0 -111.935255,33.421903,0.0 -111.935061,33.421899,0.0 -111.934966,33.421949,0.0</coordinates></LineString>",,,,
