time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
141,3156,2152,1004,440,45.1288,
142,3178,2174,1004,440,45.13,
143,3200,2196,1004,440,45.1265,
144,3223,2218,1005,460,45.1266,
145,3245,2241,1004,440,45.1293,
146,3267,2263,1004,440,45.1305,
147,3289,2285,1004,440,45.1316,
148,3311,2307,1004,440,45.1283,
149,3334,2329,1005,460,45.1285,
150,3356,2352,1004,440,45.131,
151,3378,2374,1004,440,45.1322,
152,3400,2396,1004,440,45.1288,
153,3423,2418,1005,460,45.1288,
154,3445,2441,1004,440,45.1316,
155,3467,2463,1004,440,45.1327,
156,3489,2485,1004,440,45.1339,
157,3511,2507,1004,440,45.1305,
158,3534,2529,1005,460,45.1307,
159,3556,2552,1004,440,45.1332,
160,3578,2574,1004,440,45.1299,
161,3600,2596,1004,440,45.1265,
162,3623,2618,1005,460,45.1267,
163,3645,2641,1004,440,45.1293,
164,3667,2663,1004,440,45.1304,
165,3689,2685,1004,440,45.1271,
166,3712,2707,1005,460,45.1271,
167,3734,2730,1004,440,45.1298,
168,3756,2752,1004,440,45.131,
169,3778,2774,1004,440,45.1321,
170,3800,2796,1004,440,45.1288,
171,3823,2818,1005,460,45.1289,
172,3845,2841,1004,440,45.1315,
173,3867,2863,1004,440,45.1327,
174,3889,2885,1004,440,45.1294,
175,3912,2907,1005,460,45.1293,
176,3934,2930,1004,440,45.1321,
177,3956,2952,1004,440,45.1333,
178,3978,2974,1004,440,45.1344,
179,4000,2996,1004,440,45.131,
180,4000,3018,982,0,0,
181,4000,3041,959,0,0,
182,4000,3063,937,0,0,
183,4000,3085,915,0,0,
184,4000,3107,893,0,0,
185,4000,3130,870,0,0,
186,4000,3152,848,0,0,
187,4000,3174,826,0,0,
188,4000,3196,804,0,0,
189,4000,3219,781,0,0,
190,4000,3241,759,0,0,
191,4000,3263,737,0,0,
192,4000,3285,715,0,0,
193,4000,3307,693,0,0,
194,4000,3330,670,0,0,
195,4000,3352,648,0,0,
196,4000,3374,626,0,0,
197,4000,3396,604,0,0,
198,4000,3419,581,0,0,
199,4000,3441,559,0,0,
200,4000,3463,537,0,0,
201,4000,3485,515,0,0,
202,4000,3507,493,0,0,
203,4000,3530,470,0,0,
204,4000,3552,448,0,0,
205,4000,3574,426,0,0,
206,4000,3596,404,0,0,
207,4000,3619,381,0,0,
208,4000,3641,359,0,0,
209,4000,3663,337,0,0,
210,4000,3685,315,0,0,
211,4000,3708,292,0,0,
212,4000,3730,270,0,0,
213,4000,3752,248,0,0,
214,4000,3774,226,0,0,
215,4000,3796,204,0,0,
216,4000,3819,181,0,0,
217,4000,3841,159,0,0,
218,4000,3863,137,0,0,
219,4000,3885,115,0,0,
220,4000,3908,92,0,0,
221,4000,3930,70,0,0,
222,4000,3952,48,0,0,
223,4000,3974,26,0,0,
224,4000,3996,4,0,0,
225,4000,4000,0,0,0,
