zone_id,total_production_capacity,total_production,avg_production_distance,total_attraction_capacity,total_attraction,avg_attraction_distance,geometry
22,601.400024,0,0.000000,601.400024,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.901608,40.563753,0.0 -111.898781,40.563753,0.0 -111.898781,40.561468,0.0 -111.901608,40.561468,0.0 -111.901608,40.563753,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
23,10000.200195,0,0.000000,10000.200195,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.904113,40.577700,0.0 -111.901448,40.577700,0.0 -111.901448,40.573417,0.0 -111.904113,40.573417,0.0 -111.904113,40.577700,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
24,10000.200195,0,0.000000,10000.200195,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.906191,40.593586,0.0 -111.906191,40.591016,0.0 -111.908714,40.591016,0.0 -111.908714,40.593586,0.0 -111.906191,40.593586,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
25,40000.800781,0,0.000000,40000.800781,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.926728,40.575176,0.0 -111.926728,40.585467,0.0 -111.920541,40.585467,0.0 -111.920541,40.575176,0.0 -111.926728,40.575176,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
26,20000.400391,0,0.000000,20000.400391,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.924289,40.590167,0.0 -111.924289,40.596710,0.0 -111.915425,40.596710,0.0 -111.915425,40.590167,0.0 -111.924289,40.590167,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
27,20000.400391,0,0.000000,20000.400391,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.941258,40.576046,0.0 -111.945719,40.576046,0.0 -111.945719,40.584969,0.0 -111.941258,40.584969,0.0 -111.941258,40.576046,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
28,20000.400391,0,0.000000,20000.400391,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.913451,40.578959,0.0 -111.909436,40.578959,0.0 -111.909436,40.575866,0.0 -111.913451,40.575866,0.0 -111.913451,40.578959,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
29,10000.200195,0,0.000000,10000.200195,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.912143,40.582588,0.0 -111.910447,40.582588,0.0 -111.910447,40.581160,0.0 -111.912143,40.581160,0.0 -111.912143,40.582588,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
30,30000.601563,0,0.000000,30000.601563,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.903636,40.584700,0.0 -111.901227,40.584700,0.0 -111.901227,40.582172,0.0 -111.903636,40.582172,0.0 -111.903636,40.584700,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
31,31029.601563,0,0.000000,31029.601563,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.941202,40.590083,0.0 -111.947246,40.590083,0.0 -111.947246,40.607358,0.0 -111.941202,40.607358,0.0 -111.941202,40.590083,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
32,10000.200195,0,0.000000,10000.200195,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.941011,40.613328,0.0 -111.946770,40.613328,0.0 -111.946770,40.619134,0.0 -111.941011,40.619134,0.0 -111.941011,40.613328,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
33,10000.200195,0,0.000000,10000.200195,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.941014,40.569523,0.0 -111.941014,40.565669,0.0 -111.947046,40.565669,0.0 -111.947046,40.569523,0.0 -111.941014,40.569523,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
34,80001.601563,0,0.000000,80001.601563,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.931141,40.589287,0.0 -111.936995,40.589287,0.0 -111.936995,40.608513,0.0 -111.931141,40.608513,0.0 -111.931141,40.589287,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
35,10000.200195,0,0.000000,10000.200195,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.926865,40.614954,0.0 -111.926865,40.620188,0.0 -111.922392,40.620188,0.0 -111.922392,40.614954,0.0 -111.926865,40.614954,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
36,20000.400391,0,0.000000,20000.400391,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.909046,40.618189,0.0 -111.906976,40.618189,0.0 -111.906976,40.615144,0.0 -111.909046,40.615144,0.0 -111.909046,40.618189,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
37,60001.199219,0,0.000000,60001.199219,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.936234,40.585768,0.0 -111.931534,40.585768,0.0 -111.931534,40.574703,0.0 -111.936234,40.574703,0.0 -111.936234,40.585768,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
38,10000.200195,0,0.000000,10000.200195,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.937032,40.555331,0.0 -111.932570,40.555331,0.0 -111.932570,40.549870,0.0 -111.937032,40.549870,0.0 -111.937032,40.555331,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
39,10000.200195,0,0.000000,10000.200195,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.909382,40.573388,0.0 -111.907022,40.573388,0.0 -111.907022,40.570856,0.0 -111.909382,40.570856,0.0 -111.909382,40.573388,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
40,10000.200195,0,0.000000,10000.200195,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.914287,40.612389,0.0 -111.919379,40.612389,0.0 -111.919379,40.616958,0.0 -111.914287,40.616958,0.0 -111.914287,40.612389,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
41,854.399963,0,0.000000,854.399963,0,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.940727,40.627699,0.0 -111.940727,40.635610,0.0 -111.936325,40.635610,0.0 -111.936325,40.627699,0.0 -111.940727,40.627699,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
